id,title,genre,year
4,Un bon bock,Animation|Short,1892
7,Corbett and Courtney Before the Kinetograph,Short|Sport,1894
123,Conjuring,Short,1896
273,Attack on a China Mission,Action|Crime|Drama|Short|War,1900
319,Maple Leaf Viewing,Horror|Short,1899
370,"Scrooge; or Marley's Ghost",Drama|Fantasy|Horror|Short,1901
420,Alice in Wonderland,Family|Fantasy|Short,1903
432,How Monsieur Takes His Bath,Comedy|Short,1903
439,The Great Train Robbery,Action|Adventure|Crime|Short|Western,1903
567,The 400 Tricks of the Devil,Fantasy|Horror|Short,1906
634,Antony and Cleopatra,Drama|History|Romance|Short,1908
904,The House of Cards,Drama|Short|Western,1909
1027,The Sacrifice,Comedy|Romance|Short,1909
1234,Gold Is Not All,Drama|Short,1910
2071,A Brave Little Woman,Comedy|Romance|Short,1912
2130,Dante's Inferno,Adventure|Drama|Fantasy|Horror,1911
2415,The Painted Lady,Drama|Short,1912
2529,The Tomboy on Bar Z,Short|Western,1912
2901,The Girl of the Sunny South,Drama,1913
3205,The Mystic Mat,Comedy|Short,1913
3311,Raja Harishchandra,History|Short,1913
3679,Between Showers,Comedy|Short,1914
3733,A Busy Day,Comedy|Short,1914
3740,Cabiria,Adventure|Drama|History|War,1914
3758,Caught in a Cabaret,Comedy|Short,1914
3760,Caught in the Rain,Comedy|Short,1914
3800,The Courage of a Coward,Crime|Drama|Short,1914
3805,"Cruel, Cruel Love",Comedy|Short,1914
3863,Dough and Dynamite,Comedy|Short,1914
3961,A Film Johnnie,Comedy|Short,1914
4007,Gentlemen of Nerve,Comedy|Short,1914
4074,Her Friend the Bandit,Comedy|Short,1914
4091,His Favorite Pastime,Comedy|Short,1914
4100,His Musical Career,Comedy|Short,1914
4102,His Prehistoric Past,Comedy|Short,1914
4108,His Trysting Place,Comedy|Short,1914
4189,Kid Auto Races at Venice,Comedy|Short,1914
4210,Laughing Gas,Comedy|Short,1914
4280,Mabel's Busy Day,Comedy|Short,1914
4284,Mabel's Strange Predicament,Comedy|Short,1914
4288,Making a Living,Comedy|Short,1914
4311,The Masquerader,Comedy|Short,1914
4395,The New Janitor,Comedy|Short,1914
4499,The Property Man,Comedy|Short,1914
4637,The Star Boarder,Comedy|Short,1914
4707,Tillie's Punctured Romance,Comedy,1914
4873,Alice in Wonderland,Adventure|Family|Fantasy,1915
4972,The Birth of a Nation,Drama|History|War,1915
5060,Carmen,Drama,1915
5074,The Champion,Comedy|Short|Sport,1915
5077,A Burlesque on Carmen,Comedy|Short,1915
5214,Double Trouble,Comedy|Romance,1915
5489,His New Job,Comedy|Short,1915
5571,A Jitney Elopement,Comedy|Short,1915
5810,A Night Out,Comedy|Short,1915
5975,The Romance of an American Duchess,Drama|Short,1915
6032,Shanghaied,Comedy|Short,1915
6177,The Tramp,Comedy|Short,1915
6241,War and Peace,Drama|History,1915
6349,Where is My Treasure?,Comedy|Short,1916
6548,The Count,Comedy|Short,1916
6614,The Dumb Girl of Portici,Drama|History|Romance,1916
6684,The Fireman,Comedy|Short,1916
6689,The Floorwalker,Comedy|Short,1916
6830,The House of Lies,Drama,1916
6877,Jailed,Comedy|Short,1916
6917,Liberty,Action|Adventure|War|Western,1916
7071,The Unattainable,Drama,1916
7111,A Night of Horror,Drama|Horror,1917
7145,One A.M.,Comedy|Family|Short,1916
7264,The Rink,Comedy|Short,1916
7294,Sammie Johnsin's Love Affair,Animation|Comedy|Short,1916
7507,The Vagabond,Comedy|Romance|Short,1916
7880,Easy Street,Comedy|Short,1917
8161,Korol Parizha,Drama,1917
8720,Unknown 274,Drama,1917
8783,Wolf Lowry,Western,1917
8907,The Bond,Comedy|Short,1918
9014,The Tenth Symphony,Drama,1918
9018,A Dog's Life,Comedy|Drama|Short,1918
9137,The Gun Woman,Western,1918
9212,The Hun Within,Drama|Thriller|War,1918
9246,Just Rambling Along,Comedy|Short,1918
9309,Little Women,Drama|Family|Romance,1918
9891,Atonement,Drama|Romance,1919
9908,Be My Wife,Comedy|Short,1919
9969,The Broken Butterfly,Drama,1919
10040,Daddy-Long-Legs,Comedy|Drama,1919
10203,The Halfbreed,Fantasy,1919
10281,I Don't Want to Be a Man,Comedy|Romance,1918
10307,J'accuse!,Drama|Horror|War,1919
10532,Open Your Eyes,Drama,1919
10705,The Sleeping Lion,Western,1919
10747,Sunnyside,Comedy|Short,1919
10874,When Knights Were Cold,Comedy|Short,1923
10962,Deception,Biography|Drama|Romance,1920
11144,An Eastern Westerner,Comedy|Family|Short|Western,1920
11261,Harriet and the Piper,Drama,1920
11541,One Week,Comedy|Short,1920
11612,Quatre-vingt-treize,Drama|History,1921
11723,The Spiders - Episode 2: The Diamond Ship,Adventure,1920
11803,Uncharted Channels,Drama,1920
11841,Way Down East,Drama|Romance,1920
11870,Within Our Gates,Drama|Romance,1920
12164,Fighting Fate,Action|Romance|Thriller|Western,1921
12249,Hamlet,Drama,1921
12255,The Haunted House,Comedy|Horror|Short,1921
12278,The 'High Sign',Action|Comedy|Short,1921
12349,The Kid,Comedy|Drama|Family,1921
12463,Miracles of the Jungle,Action,1921
12532,Orphans of the Storm,Drama|History|Romance,1921
12570,The Play House,Comedy|Fantasy|Short,1921
12926,The Beautiful and Damned,Drama,1922
13071,The Dictator,Adventure|Drama|Romance,1922
13075,Dr. Jack,Comedy|Romance,1922
13099,The Electric House,Comedy|Short,1922
13117,Farende folk,Crime|Drama,1922
13122,The Woman from Nowhere,Drama,1922
13158,The Frozen North,Comedy|Short|Western,1922
13176,A Girl's Desire,Comedy,1922
13402,Monte Cristo,Drama|Romance,1922
13442,Nosferatu,Fantasy|Horror,1922
